layer,rank_correct_mean,rank_correct_median,rank_wrong_mean,rank_wrong_median,prob_correct_mean,prob_wrong_mean
0,16599.06,16637.0,4098.56,4061.5,9.036033443408087e-06,3.8918729769648054e-05
1,81838.64,81824.5,61023.3,61275.5,4.5553953839316816e-07,1.0228758583252783e-06
2,10643.22,10699.0,23446.0,22881.5,1.466365374653833e-05,5.663021761392884e-06
3,13313.46,13300.0,5080.78,4888.0,1.1521405376697657e-05,3.151906043058261e-05
4,15876.14,14791.5,2839.18,2655.0,8.750798269829829e-06,5.600227173999883e-05
5,37278.2,36174.0,18289.62,18194.0,2.625219290166569e-06,7.2646425269340395e-06
6,69114.84,68551.0,19284.12,19719.5,6.629874792452029e-07,6.4636943943696675e-06
7,86142.52,85370.0,46032.26,46547.5,2.6672121009596596e-07,1.4340741461182915e-06
8,53778.76,54145.0,25376.34,25352.5,1.0827295716353546e-06,3.911041592346009e-06
9,39813.12,38408.0,78717.6,79305.5,2.1883581280235376e-06,4.710917599481945e-07
10,93413.36,92571.5,94332.88,95660.5,1.8757410117586914e-07,1.7939833711011487e-07
11,120663.94,120839.0,120663.76,120933.5,1.6067771690941866e-08,1.6064730967713105e-08
12,111561.28,111407.0,96316.4,95369.5,5.303826682734325e-08,1.3176124852520843e-07
13,115354.9,116298.5,116786.92,117083.0,4.052894430728315e-08,3.423531898860688e-08
14,100415.88,103099.0,105029.46,105892.0,1.0361292176241931e-07,7.701845831320498e-08
15,47433.3,47550.0,70865.18,70098.5,1.6835332610298792e-06,6.378157894459946e-07
16,79594.1,78725.5,70462.2,70302.0,3.967188325759707e-07,5.667077505222551e-07
17,49491.28,50940.0,86727.44,88323.5,1.5635104591638082e-06,3.7353061031808467e-07
18,52343.48,52362.0,78573.78,81014.0,1.5607818852458877e-06,5.240616276580567e-07
19,28476.68,27540.0,33372.5,33467.0,5.5166291565456046e-06,3.773932397734825e-06
20,9447.08,8424.0,18097.9,17590.5,2.3480585159632028e-05,1.1687174496728404e-05
21,38542.52,37317.0,48293.66,51041.5,3.568651756040708e-06,2.405077776188591e-06
22,15343.38,13820.5,30243.8,31505.5,2.402864196938026e-05,9.352542244869255e-06
23,5500.16,4215.0,26813.22,27593.5,7.728831136773807e-05,1.1626105888353777e-05
24,1.06,1.0,899.02,730.0,0.14707369254902006,0.00023487932769057805
25,1.16,1.0,112.24,77.5,0.0902712873276323,0.0011883061469416135
26,1.2,1.0,2.82,2.0,0.1337944334372878,0.01951871353201568
27,1.04,1.0,8.94,6.0,0.13158089170232415,0.006270917095243931
28,1.06,1.0,9.34,9.0,0.17792474208399653,0.007457949516829103
29,3.76,4.0,3.0,2.5,0.07223894628230482,0.0678845739737153
30,8.76,6.0,5.28,4.0,0.001070801620808197,0.0016852054226910696
31,74.74,78.0,68.32,70.5,0.0002509659453062341,0.0002772246298263781
