layer,rank_correct_mean,rank_correct_median,rank_wrong_mean,rank_wrong_median,prob_correct_mean,prob_wrong_mean
0,16190.52,16177.0,4062.38,4031.0,9.306669235229491e-06,3.9256811141967774e-05
1,78696.58,78958.0,57675.3,57498.0,4.911422729492188e-07,1.138448715209961e-06
2,11577.8,11767.0,25490.94,25006.5,1.3279914855957032e-05,5.0044059753417965e-06
3,16202.48,16032.0,4477.38,4355.0,9.148120880126953e-06,3.563761711120605e-05
4,19273.52,18489.0,2559.96,2442.0,6.6006183624267575e-06,6.0529708862304686e-05
5,37765.68,36883.0,12178.22,12097.0,2.516508102416992e-06,1.1794567108154297e-05
6,71806.84,71163.0,12047.2,12197.0,5.733966827392578e-07,1.1790990829467773e-05
7,96484.06,96223.0,50839.38,51827.5,1.1920928955078125e-07,1.0800361633300782e-06
8,66070.62,66277.5,30544.4,30157.5,5.817413330078125e-07,2.7620792388916018e-06
9,46834.44,44268.5,74923.86,76427.5,1.4865398406982423e-06,4.76837158203125e-07
10,99245.64,98644.0,91178.86,91935.0,1.0728836059570313e-07,1.7404556274414062e-07
11,112171.02,112102.5,110876.8,111140.0,0.0,4.76837158203125e-09
12,114151.86,116531.5,90667.88,90805.5,1.1920928955078126e-08,1.3589859008789061e-07
13,113992.64,116892.5,103099.38,103127.5,1.6689300537109377e-08,6.318092346191407e-08
14,104650.96,103409.5,96732.92,95487.0,5.7220458984375e-08,1.0371208190917969e-07
15,58383.22,59060.5,58705.1,56431.0,1.093149185180664e-06,1.0311603546142579e-06
16,82655.26,82372.0,54203.24,53707.5,2.980232238769531e-07,9.429454803466797e-07
17,58560.3,58884.5,82508.34,81989.5,9.334087371826172e-07,3.5643577575683596e-07
18,80808.0,80750.0,87926.54,88624.5,4.029273986816406e-07,2.884864807128906e-07
19,57147.12,59258.5,42686.32,43157.5,1.3530254364013671e-06,2.4247169494628906e-06
20,30205.6,31155.5,32940.38,32192.5,3.993511199951172e-06,3.781318664550781e-06
21,75576.58,76887.0,67738.44,68514.0,6.437301635742188e-07,8.96453857421875e-07
22,43103.16,42978.0,45602.02,45213.0,3.6025047302246092e-06,3.249645233154297e-06
23,18556.74,16988.5,35033.56,32359.0,1.338958740234375e-05,5.840063095092774e-06
24,2.3,2.0,444.94,364.0,0.026385040283203126,0.000279843807220459
25,5.08,4.0,61.58,56.0,0.019708538055419923,0.0010807943344116212
26,3.22,2.0,4.0,3.0,0.023820037841796874,0.012030525207519531
27,2.86,2.0,13.84,11.0,0.021770133972167968,0.003693370819091797
28,3.48,2.0,14.78,14.0,0.030304298400878907,0.004320640563964844
29,6.5,6.0,2.34,2.0,0.014602346420288086,0.0550067138671875
30,23.98,23.5,6.92,6.0,0.00045891523361206053,0.001664905548095703
31,95.54,93.0,66.46,66.5,0.000567488670349121,0.0008182811737060547
